Rk,Gcar,Gtm,Date,Team,,Opp,Type,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,2022-11-08,Oregon State,,Tulsa,REG (Non-Conf),W 73-70,*,33,6,11,.545,2,4,.500,4,7,.571,.636,5,5,1.000,0,5,5,3,0,1,3,3,19,13.8
2,2,2,2022-11-11,Oregon State,,Florida A&M,REG (Non-Conf),W 60-43,*,31,5,10,.500,2,5,.400,3,5,.600,.600,2,3,.667,0,4,4,3,3,0,1,1,14,13.5
3,3,3,2022-11-15,Oregon State,,Bushnell,REG (Non-Conf),W 83-66,*,35,6,13,.462,2,7,.286,4,6,.667,.538,1,2,.500,0,6,6,7,2,1,1,1,15,15.9
4,4,4,2022-11-19,Oregon State,,Portland State,REG (Non-Conf),L 66-79,*,35,5,11,.455,2,4,.500,3,7,.429,.545,2,3,.667,0,0,0,2,2,0,3,3,14,7.1
5,5,5,2022-11-24,Oregon State,N,Duke,REG (Non-Conf),L 51-54,*,38,5,12,.417,1,6,.167,4,6,.667,.458,3,4,.750,1,4,5,2,2,0,2,0,14,10.5
6,6,6,2022-11-25,Oregon State,N,Florida,REG (Non-Conf),L 68-81,*,39,4,10,.400,2,4,.500,2,6,.333,.500,2,2,1.000,0,2,2,5,1,0,0,1,12,11.3
7,7,7,2022-11-27,Oregon State,N,Portland State,REG (Non-Conf),L 71-83,*,37,6,10,.600,1,3,.333,5,7,.714,.650,10,10,1.000,0,3,3,3,1,0,2,2,23,19.6
8,8,8,2022-12-01,Oregon State,,Washington,REG (Conf),W 66-65,*,34,1,7,.143,0,2,.000,1,5,.200,.143,4,4,1.000,0,2,2,5,0,0,2,2,6,2.8
9,9,9,2022-12-04,Oregon State,@,Southern California,REG (Conf),L 62-63,*,34,4,10,.400,3,7,.429,1,3,.333,.550,0,0,,0,1,1,2,0,0,3,2,11,3.5
10,10,10,2022-12-11,Oregon State,@,Texas A&M,REG (Non-Conf),L 54-72,*,36,5,11,.455,2,6,.333,3,5,.600,.545,3,3,1.000,0,0,0,5,0,0,1,0,15,11.8
11,11,11,2022-12-15,Oregon State,,Seattle,REG (Non-Conf),W 73-58,*,26,6,9,.667,3,5,.600,3,4,.750,.833,0,0,,0,1,1,1,0,0,1,1,15,10.7
