Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,21,21,36.6,10.5,22.9,.458,3.4,10.6,.320,7.1,12.3,.578,.532,9.8,12.1,.807,0.9,7.8,8.6,8.8,1.6,0.5,4.2,2.5,34.1,,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,29,29,33.4,11.1,19.9,.557,2.2,5.1,.435,8.9,14.8,.599,.613,8.1,9.2,.884,0.5,4.3,4.8,6.6,1.5,0.8,2.0,2.1,32.5,,gilgesh01
3,Tyrese Maxey,25,PHI,PG,26,26,39.8,10.6,22.9,.461,3.7,9.3,.391,6.9,13.6,.510,.541,6.2,6.9,.889,0.3,4.2,4.5,6.9,1.8,0.8,2.7,2.3,31.0,,maxeyty01
4,Donovan Mitchell,29,CLE,SG,28,28,34.0,10.7,21.4,.500,4.0,10.4,.388,6.6,11.0,.606,.594,5.2,6.1,.848,0.9,3.6,4.5,5.4,1.3,0.3,3.3,2.5,30.6,,mitchdo01
5,Jaylen Brown,29,BOS,SF,27,27,33.7,10.7,21.5,.497,2.1,5.7,.364,8.6,15.8,.546,.546,5.9,7.6,.780,1.2,5.1,6.4,4.9,1.1,0.5,3.6,3.0,29.4,,brownja02
6,Jalen Brunson,29,NYK,PG,26,26,35.2,10.3,21.3,.482,2.8,7.6,.374,7.4,13.7,.542,.549,5.7,6.8,.847,0.7,2.7,3.4,6.6,0.8,0.1,2.2,2.5,29.1,,brunsja01
7,Giannis Antetokounmpo,31,MIL,PF,17,17,29.1,11.1,17.3,.639,0.6,1.4,.435,10.5,15.9,.657,.656,6.2,9.8,.635,3.3,6.8,10.1,6.1,0.9,0.9,3.3,2.8,28.9,,antetgi01
8,Nikola Jokić,30,DEN,C,29,29,34.7,10.5,17.3,.604,2.1,5.0,.431,8.3,12.4,.674,.666,5.8,6.9,.839,2.9,9.1,12.0,10.9,1.5,0.8,3.5,2.9,28.9,,jokicni01
9,Stephen Curry,37,GSW,PG,21,21,31.6,9.4,20.0,.473,4.9,12.3,.398,4.5,7.6,.594,.595,4.9,5.4,.912,0.5,3.8,4.2,4.3,1.3,0.5,3.0,2.0,28.7,,curryst01
10,Anthony Edwards,24,MIN,SG,23,23,34.9,9.7,19.9,.490,3.3,8.2,.404,6.4,11.7,.550,.573,6.0,7.3,.815,0.8,4.3,5.0,3.8,1.3,0.9,2.8,2.0,28.7,,edwaran01
11,Lauri Markkanen,28,UTA,PF,25,25,35.4,9.3,19.8,.471,2.9,8.3,.346,6.4,11.5,.561,.543,6.2,7.0,.897,2.1,5.0,7.1,2.1,0.9,0.4,1.4,1.9,27.8,,markkla01
12,Austin Reaves,27,LAL,SG,22,21,36.2,8.4,16.6,.504,2.7,7.5,.364,5.6,9.1,.620,.586,7.8,9.0,.873,0.7,4.7,5.4,6.5,1.0,0.2,3.3,2.4,27.3,,reaveau01
13,Cade Cunningham,24,DET,PG,27,27,35.9,9.3,20.3,.459,2.0,6.2,.321,7.3,14.0,.520,.508,5.8,7.0,.825,1.3,5.1,6.4,9.4,1.6,0.7,3.9,3.4,26.4,,cunnica01
14,Kawhi Leonard,34,LAC,SF,19,19,33.3,9.4,19.1,.492,2.3,6.3,.370,7.1,12.8,.551,.552,5.0,5.1,.979,1.1,5.1,6.2,3.3,1.9,0.4,1.9,1.6,26.1,,leonaka01
15,James Harden,36,LAC,PG,27,27,35.6,7.5,17.2,.435,3.6,9.5,.374,3.9,7.7,.512,.539,7.4,8.4,.885,0.6,4.6,5.1,8.1,1.4,0.4,3.9,2.1,26.0,,hardeja01
16,Michael Porter Jr.,27,BRK,SF,24,24,32.8,9.2,18.7,.491,3.7,9.3,.401,5.5,9.4,.580,.590,3.7,4.5,.815,1.2,6.2,7.3,3.2,0.9,0.2,2.3,2.3,25.7,,portemi01
17,Deni Avdija,25,POR,SF,30,30,34.9,7.7,16.5,.464,2.3,6.4,.366,5.3,10.2,.525,.534,7.8,9.7,.804,1.0,6.0,7.1,6.6,0.7,0.6,3.7,3.1,25.5,,avdijde01
18,Devin Booker,29,PHO,SG,26,26,34.2,8.3,18.0,.458,1.7,5.5,.299,6.6,12.5,.529,.504,7.2,8.3,.866,0.9,3.2,4.1,6.6,1.0,0.4,3.5,2.8,25.4,,bookede01
19,Kevin Durant,37,HOU,SF,25,25,36.4,8.6,17.0,.509,2.0,4.8,.429,6.6,12.2,.541,.570,5.9,6.6,.896,0.3,4.7,5.0,4.0,0.8,1.0,3.1,2.4,25.2,,duranke01
20,Jamal Murray,28,DEN,PG,28,28,34.8,8.9,17.8,.499,3.4,7.4,.457,5.5,10.3,.529,.595,4.0,4.5,.889,0.4,4.1,4.4,6.9,1.1,0.3,2.3,1.5,25.1,,murraja01
21,Keyonte George,22,UTA,PG,29,29,34.2,7.3,16.4,.448,2.4,6.8,.362,4.9,9.6,.509,.523,6.7,7.4,.907,0.5,3.6,4.1,6.8,0.9,0.3,3.4,2.6,23.9,,georgke01
22,Jalen Johnson,24,ATL,SF,28,28,35.3,8.7,16.6,.523,1.6,4.3,.378,7.1,12.4,.572,.571,4.8,5.9,.823,1.5,8.9,10.5,8.3,1.5,0.4,3.5,2.2,23.8,,johnsja05
23,Norman Powell,32,MIA,SG,25,25,31.4,7.8,16.4,.478,2.9,7.1,.407,5.0,9.3,.532,.566,5.2,6.1,.849,0.4,3.6,3.9,2.6,1.3,0.2,1.9,2.4,23.7,,powelno01
