,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DAL,Cooper Flagg,Duke,1,31,1071,602,199,119,.493,.269,.794,34.5,19.4,6.4,3.8,2.2,.097,0.7,0.7
2,2,SAS,Dylan Harper,Rutgers University,1,20,428,243,63,77,.468,.271,.727,21.4,12.2,3.2,3.9,0.9,.103,0.2,0.2
3,3,PHI,VJ Edgecombe,Baylor,1,25,876,394,139,98,.427,.370,.790,35.0,15.8,5.6,3.9,1.5,.082,-1.0,0.2
4,4,CHO,Kon Knueppel,Duke,1,31,1027,597,159,107,.478,.428,.897,33.1,19.3,5.1,3.5,2.1,.097,0.7,0.7
5,5,UTA,Ace Bailey,Rutgers University,1,30,715,311,98,46,.438,.357,.667,23.8,10.4,3.3,1.5,0.0,-.003,-4.5,-0.4
6,6,WAS,Tre Johnson,Texas,1,22,508,253,68,33,.440,.378,.871,23.1,11.5,3.1,1.5,-0.1,-.005,-3.4,-0.2
7,7,NOP,Jeremiah Fears,Oklahoma,1,32,856,469,111,99,.439,.351,.776,26.8,14.7,3.5,3.1,-0.1,-.005,-3.6,-0.3
8,8,BRK,Egor Dёmin,BYU,1,26,618,245,82,90,.396,.365,.864,23.8,9.4,3.2,3.5,0.4,.030,-1.7,0.1
9,9,TOR,Collin Murray-Boyles,South Carolina,1,26,468,182,98,36,.556,.452,.606,18.0,7.0,3.8,1.4,1.1,.108,-0.9,0.1
10,10,HOU,Khaman Maluach,Duke,1,13,65,19,13,2,.375,.000,.875,5.0,1.5,1.0,0.2,0.0,-.030,-10.8,-0.1
11,11,POR,Cedric Coward,Washington State,1,30,812,407,186,87,.466,.331,.824,27.1,13.6,6.2,2.9,1.8,.104,0.3,0.5
12,12,CHI,Noa Essengue,,1,2,6,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,-0.1,-.410,-24.1,0.0
13,13,ATL,Derik Queen,Maryland,1,32,823,423,219,129,.511,.185,.780,25.7,13.2,6.8,4.0,1.4,.081,0.0,0.4
14,14,SAS,Carter Bryant,Arizona,1,22,162,53,36,4,.364,.300,.667,7.4,2.4,1.6,0.2,0.0,-.010,-6.5,-0.2
15,15,OKC,Thomas Sorber,Georgetown,,,,,,,,,,,,,,,,,
16,16,MEM,Yang Hansen,,1,14,108,38,25,12,.317,.063,.917,7.7,2.7,1.8,0.9,-0.2,-.068,-7.0,-0.1
17,17,MIN,Joan Beringer,,1,9,37,18,12,0,.727,,.667,4.1,2.0,1.3,0.0,0.1,.157,-2.6,0.0
18,18,WAS,Walter Clayton,Florida,1,26,411,157,52,81,.400,.286,.943,15.8,6.0,2.0,3.1,0.3,.031,-3.0,-0.1
