,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ATL,Zaccharie Risacher,,2,104,2551,1259,351,138,.459,.350,.704,24.5,12.1,3.4,1.3,2.5,.047,-3.4,-0.9
2,2,WAS,Alex Sarr,,2,87,2387,1232,601,221,.425,.318,.670,27.4,14.2,6.9,2.5,0.8,.015,-1.9,0.0
3,3,HOU,Reed Sheppard,Kentucky,2,80,1370,601,161,168,.409,.389,.780,17.1,7.5,2.0,2.1,3.3,.116,1.5,1.2
4,4,SAS,Stephon Castle,UConn,2,102,2802,1580,407,478,.446,.288,.722,27.5,15.5,4.0,4.7,2.9,.050,-1.9,0.1
5,5,DET,Ron Holland,,2,110,1873,767,329,127,.453,.242,.769,17.0,7.0,3.0,1.2,2.7,.069,-2.7,-0.3
6,6,CHO,Tidjane Salaün,,2,78,1536,480,351,90,.367,.315,.709,19.7,6.2,4.5,1.2,0.8,.026,-4.1,-0.8
7,7,POR,Donovan Clingan,UConn,2,94,2033,717,805,126,.530,.305,.622,21.6,7.6,8.6,1.3,6.5,.154,0.3,1.2
8,8,SAS,Rob Dillingham,Kentucky,2,74,781,312,82,147,.409,.327,.621,10.6,4.2,1.1,2.0,-0.2,-.009,-5.1,-0.6
9,9,MEM,Zach Edey,Purdue,2,77,1700,760,670,77,.589,.333,.723,22.1,9.9,8.7,1.0,5.8,.163,0.1,0.9
10,10,UTA,Cody Williams,Colorado,2,67,1270,274,131,70,.327,.236,.682,19.0,4.1,2.0,1.0,-1.5,-.058,-7.8,-1.8
11,11,CHI,Matas Buzelis,,2,110,2338,1114,435,122,.468,.359,.812,21.3,10.1,4.0,1.1,3.1,.064,-2.3,-0.2
12,12,OKC,Nikola Topić,,,,,,,,,,,,,,,,,,
13,13,SAC,Devin Carter,Providence,2,45,482,170,89,54,.361,.295,.647,10.7,3.8,2.0,1.2,0.3,.030,-3.2,-0.2
14,14,POR,Bub Carrington,Pitt,2,111,3246,1069,451,487,.401,.361,.776,29.2,9.6,4.1,4.4,0.0,.000,-4.7,-2.3
